incident_id,service,severity,resolution_hours,deploy_version,customer_impact
INC-001,api,low,2,v1,no
INC-002,web,medium,5,v1,yes
INC-003,worker,high,8,v1,no
INC-004,api,low,3,v1,yes
INC-005,web,medium,,v1,no
INC-006,worker,high,12,v1,yes
INC-007,api,low,4,v1,no
INC-008,web,medium,-2,v1,yes
INC-009,worker,high,9,v1,no
INC-010,api,low,2,v1,yes
INC-011,,medium,8,v1,no
INC-012,worker,high,15,v1,yes
INC-013,api,low,3,v2,no
INC-014,web,medium,6,v2,yes
INC-015,worker,high,10,v2,no
INC-016,api,low,4,v2,yes
INC-017,web,medium,,v2,no
INC-018,worker,high,18,v2,yes
INC-019,api,low,5,v2,no
INC-020,web,medium,10,v2,yes
INC-021,worker,high,14,v2,no
INC-022,api,low,6,v2,yes
INC-023,web,medium,11,v2,no
INC-024,worker,high,24,v2,yes
INC-003,worker,high,8,v1,no
